Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","277","South Sudan","2014","2014","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","138.536","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2015","2015","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","301.6359817745","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2007","2007","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","60.359","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2008","2008","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","67.55","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2009","2009","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","74.656","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2010","2010","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","69.86","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2011","2011","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","130.812","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2012","2012","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","186.675","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","153.507","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2014","2014","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","187.175","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2015","2015","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","340.0881746626","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2007","2007","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","59.298","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2008","2008","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","66.379","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2009","2009","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","67.415","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2010","2010","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","80.854","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
